City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
170,Bac Lieu,VN,82.9,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
173,Fukue,JP,66.56,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
175,Bilma,NE,76.14,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
180,Banikoara,BJ,76.35,broken clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
182,Namibe,AO,70.79,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
183,Teodoro Sampaio,BR,76.01,overcast clouds,-22.5325,-52.1675,MINI HOTEL
184,Makakilo City,US,86.32,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
186,Riberalta,BO,78.73,overcast clouds,-10.9833,-66.1,Hotel Colonial
188,Hobyo,SO,79.3,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
193,Kutum,SD,69.93,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
203,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
205,Huarmey,PE,65.66,overcast clouds,-10.0681,-78.1522,Hotel Miramar
206,Kaeo,NZ,68.45,scattered clouds,-35.1,173.7833,Bushido Lodge
213,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
217,Luanda,AO,75.22,light rain,-8.8368,13.2343,Hotel Fórum
218,Samarai,PG,84.99,clear sky,-10.6167,150.6667,Nuli Sapi
221,Finschhafen,PG,85.89,broken clouds,-6.6024,147.8681,Cossam Guest House
224,Te Anau,NZ,68.74,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
226,Manyana,BW,76.32,overcast clouds,-23.4,21.7167,
230,North Port,US,65.98,overcast clouds,27.0442,-82.2359,Americas Best Value Inn & Suites North Port
232,Roebourne,AU,84.13,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
234,Curup,ID,68.68,overcast clouds,-3.4667,102.5333,Ayi The Costel
237,Tocopilla,CL,65.62,clear sky,-22.092,-70.1979,Hotel Galvarino
241,Garissa,KE,76.42,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
243,Caravelas,BR,72.86,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
244,Catalao,BR,76.28,broken clouds,-18.1658,-47.9464,Mara Turismo Hotel
246,Brightwater,NZ,71.85,broken clouds,-41.3833,173.1167,Marama Vineyard & Accomodation
247,Narrabri,AU,80.69,overcast clouds,-30.3167,149.7833,Crossroads Hotel
249,Palmeiras De Goias,BR,75.27,few clouds,-16.805,-49.9258,Hotel Água Virada
252,Lodja,CD,67.62,overcast clouds,-3.4833,23.4333,
256,Vila Velha,BR,73.94,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
257,Gao,ML,83.7,overcast clouds,16.6362,1.637,
258,Waingapu,ID,86.23,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
265,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
266,Monrovia,LR,78.87,light rain,6.3005,-10.7969,Sunset Inn
269,Fenyi,CN,66.69,overcast clouds,27.8112,114.6681,Jinhao Hotel
273,Bengkulu,ID,73.42,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
274,Cabedelo,BR,81.27,clear sky,-6.9811,-34.8339,Hotel Pigalle
276,Guerrero Negro,MX,67.84,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
282,Gunjur,GM,78.87,few clouds,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
283,Benguela,AO,75.69,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
286,Port Shepstone,ZA,66.92,broken clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
287,Ypsonas,CY,65.16,clear sky,34.6884,32.9574,Club Aphrodite
288,Bani,DO,76.75,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
289,Nueva Guinea,NI,73.54,overcast clouds,11.6876,-84.4562,Posadita La Reyna
290,Butaritari,KI,82.33,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
291,Pointe Michel,DM,80.06,clear sky,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
292,Barao De Melgaco,BR,73.92,overcast clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
293,Xai-Xai,MZ,72.1,overcast clouds,-25.0519,33.6442,Complexo da Familia
294,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
295,Port Macquarie,AU,78.76,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
300,Geraldton,AU,66.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
303,Macaubas,BR,69.84,overcast clouds,-13.0194,-42.6986,Macaúbas Palace Hotel
305,Aden,YE,81.3,clear sky,12.7794,45.0367,Sama Emirate Hotel
307,Iquira,CO,66.92,few clouds,2.6487,-75.6346,Finca San José
308,Ratnapura,LK,74.46,overcast clouds,6.6828,80.3992,Hotel Helenium
311,Santa Isabel Do Rio Negro,BR,76.44,overcast clouds,-0.4139,-65.0192,Hotel GSA
312,Saint-Joseph,RE,71.98,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
